iso3_gted,te_cit_gdp,pais_vdem,anio,v2x_polyarchy,v2x_partipdem,e_wb_pop,e_miferrat,v2xeg_eqdr,e_regionpol,e_regionpol_7C,e_regiongeo,v2x_regime,v2x_frassoc_thick,v2xel_frefair,v2x_freexp_altinf,v2x_elecoff,v2x_suffr,gdp_const2015,party_name,v2pariglef,v2pawelf,v2parelig,v2paimmig,v2palgbt,v2pagender,v2xpa_popul,v2paanteli,v2papeople,v2xpa_antiplural,v2paplur,v2paopresp,v2paminor,v2paclient,ln_te_cit,ln_gdp,dem2
AUS,0.62736088,Australia,2019,0.825,0.59,25340217,1.67,0.864,5,6,15,3,0.868,0.955,0.892,1,1,1.49935E+12,ALP,-1.282,-0.411,1.804,2.989,3.475,3.515,0.515,0.671,-0.136,0.037,1.71,2.131,1.705,-1.387,-0.466233337,28.03605142,0.680625
AUT,0.034874288,Austria,2019,0.863,0.63,8879920,1.46,0.944,5,5,1,3,0.902,0.939,0.942,1,1,4.13365E+11,OVP,0.854,-0.698,-0.065,-1.827,0.936,1.868,0.192,-1.011,-1.656,0.068,1.842,0.979,0.798,-0.717,-3.356005446,26.74759747,0.744769
BEL,0.670817986,Belgium,2019,0.902,0.647,11488980,1.61,0.951,5,5,1,3,0.903,0.974,0.973,1,1,4.941E+11,N-VA,2.173,0.46,1.551,-2.104,0.989,1.621,0.537,0.45,0.314,0.072,1.679,0.972,1,-2.26,-0.399257437,26.92600319,0.813604
CAN,0.825177443,Canada,2019,0.851,0.592,37601230,1.48,0.901,5,5,16,3,0.878,0.943,0.944,1,1,1.69661E+12,LP,-1.052,0.841,1.797,2.382,3.303,2.274,0.297,-0.126,-1.428,0.057,1.686,1.052,1.372,-0.072,-0.192156834,28.15965036,0.724201
CHL,0.775351948,Chile,2019,0.829,0.56,19039485,1.43,0.618,2,2,18,2,0.884,0.968,0.868,1,1,2.61677E+11,RN,1.669,-2.112,-0.819,-1.741,-0.708,1.275,0.152,-1.533,-1.321,0.078,1.396,0.335,1.301,-0.77,-0.254438226,26.2903754,0.687241
COL,0.975786459,Colombia,2019,0.659,0.462,50187406,1.71,0.329,2,2,18,2,0.883,0.766,0.741,0.977,1,3.21406E+11,PLC,-0.279,0.277,-0.296,1.374,2.357,-0.639,0.485,0.115,0.251,0.418,0.239,-0.025,-0.078,0.964,-0.024511509,26.49596973,0.434281
CZE,0.349506781,Czechia,2019,0.808,0.533,10671870,1.75,0.961,1,1,4,3,0.88,0.903,0.904,1,1,2.1728E+11,ANO,-0.527,0.662,1.843,-1.124,-0.182,1.329,0.538,0.607,0.081,0.246,0.333,0.27,0.221,-0.286,-1.051232314,26.10445228,0.652864
DEU,0.016888834,Germany,2019,0.882,0.638,83092962,1.54,0.954,5,5,1,3,0.879,0.973,0.962,1,1,3.67564E+12,CDU,0.785,-0.04,-0.973,0.069,0.345,1.487,0.058,-2.368,-1.293,0.049,1.878,1.89,0.845,-1.646,-4.081102611,28.93274818,0.777924
DNK,0.318192079,Denmark,2019,0.917,0.705,5814422,1.7,0.983,5,5,2,3,0.931,0.961,0.983,1,1,3.32089E+11,SD,-1.185,1.726,1.751,-1.46,2.244,2.949,0.153,-1.553,-1.263,0.036,1.79,2.537,1.368,-2.091,-1.145100058,26.52866739,0.840889
ESP,0.277877469,Spain,2019,0.872,0.622,47134837,1.23,0.901,5,5,3,3,0.906,0.97,0.923,1,1,1.33352E+12,PSOE,-1.162,2.213,1.959,1.657,2.785,3.335,0.321,-0.65,-0.514,0.04,2.101,-0.368,1.499,-1.694,-1.280575022,27.91884423,0.760384
EST,0.11379601,Estonia,2019,0.898,0.639,1326898,1.66,0.964,1,1,2,3,0.91,0.967,0.966,1,1,27307395871,ERe,1.558,0.45,1.49,0.682,2.358,1.836,0.085,-1.706,-2.414,0.037,1.894,0.361,2.124,-0.951,-2.173347818,24.03042341,0.806404
